Date,AAPL,AMZN,BRK.B,GOOGL,JNJ,META,MSFT,NVDA,TSLA,V
2020-01-02,135480400,80580000,,27278000,5777000,12077100,22622100,237536000,142981500,8733000
2020-01-03,146322800,75288000,,23408000,5752400,11188400,21116200,205384000,266677500,4899700
2020-01-06,118387200,81236000,,46768000,7731300,17058900,20813700,262636000,151995000,10109500
2020-01-07,108872000,80898000,,34330000,7382900,14912400,21634100,314856000,268231500,4392300
2020-01-08,132079200,70160000,,35314000,6605800,13475000,27746500,277108000,467164500,5712000
2020-01-09,170108400,63346000,,33200000,6112700,12642800,21385000,255112000,426606000,6748000
2020-01-10,140644800,57074000,,26258000,5042600,12119400,20725900,316296000,194392500,6586400
2020-01-13,121532000,55616000,,30730000,4593200,14463400,21626500,319840000,397764000,11290500
2020-01-14,161954400,68818000,,26076000,7037500,13288900,23477400,359088000,434943000,6236500
2020-01-15,121923600,57932000,,21550000,4960300,10036500,21417900,263104000,260532000,10831100
2020-01-16,108829200,53190000,,26080000,6476000,10015300,23865400,284192000,326050500,9983700
2020-01-17,137816400,79946000,,52424000,9083600,15905900,34371700,253792000,204436500,12518900
2020-01-21,110843200,74156000,,48930000,9543900,14275800,29517200,217916000,267052500,14861700
2020-01-22,101832400,64326000,,28458000,10305300,12212800,24138800,239240000,470535000,8065000
2020-01-23,104472000,49692000,,26650000,8671900,11195000,19680800,244516000,294765000,8520800
2020-01-24,146537600,75324000,,29786000,9051900,11905800,24918100,373512000,215304000,7812900
2020-01-27,161940000,70570000,,34132000,7587100,13810700,32078100,470536000,204121500,7198900
2020-01-28,162234000,56160000,,29724000,7336600,13413800,24899900,310976000,176827500,7215700
2020-01-29,216229200,41760000,,21566000,6288600,33181300,34754500,258848000,267022500,7041700
2020-01-30,126743200,126548000,,27110000,6470600,48775500,51597500,290504000,435085500,8571900
2020-01-31,199588400,311346000,,43822000,8651700,31359900,36142700,370420000,235789500,16699600
2020-02-03,173788400,117834000,,71636000,5765200,15495600,30107000,255564000,705975000,10885900
2020-02-04,136616400,105786000,,95880000,6541400,19628900,36433300,271544000,914082000,10205900
2020-02-05,118826800,87524000,,36376000,5979900,12538200,39186300,208220000,726357000,8672400
2020-02-06,105425600,63660000,,37822000,6201200,10567500,27751400,218284000,598212000,7001200
2020-02-07,117684000,101906000,,28360000,5700300,12242500,33529100,189752000,255952500,5691100
2020-02-10,109348800,101124000,,38302000,4835600,11856400,35844300,529608000,370338000,6239500
2020-02-11,94323200,114920000,,34852000,3715300,25030800,53159900,638556000,175462500,10231900
2020-02-12,113730400,66686000,,31042000,5166800,13813700,47062900,374644000,180337500,7355800
2020-02-13,94747600,60636000,,22914000,5480200,15396600,35295800,528016000,394339500,9495300
2020-02-14,80113600,52124000,,23198000,5716300,10741700,23149500,1041924000,235405500,6548800
2020-02-18,152531200,58912000,,25642000,7230700,15609200,27792200,620164000,245725500,7651500
2020-02-19,93984000,51224000,,22746000,6115200,12135100,29997500,694332000,381345000,5927500
2020-02-20,100566000,62626000,,25962000,7464700,13109200,36862400,810052000,264523500,8531900
2020-02-21,129554000,92926000,,42520000,7776800,14092300,48572600,768180000,214722000,9231500
2020-02-24,222195200,130940000,,49560000,10588900,23080100,68311100,856916000,227883000,13316800
2020-02-25,230673600,124382000,,51580000,10529000,21433500,68073300,1055496000,259357500,18539000
2020-02-26,198054800,104492000,,49776000,10093800,16524500,56206100,747732000,211282500,14214700
2020-02-27,320605600,162880000,,62290000,12566700,21682600,93174900,906416000,364158000,17536600
2020-02-28,426510000,189620000,,80198000,19820300,32568900,97012700,1133252000,363343500,22659000
2020-03-02,341397200,135234000,,55430000,11508200,24949000,71030800,890744000,302925000,17434500
2020-03-03,319475600,150690000,,56602000,13662500,27984100,71677000,652792000,386760000,15226400
2020-03-04,219178400,95458000,,47598000,10560500,23062500,49814400,597408000,225735000,10789100
2020-03-05,187572800,94964000,,54380000,11339200,19333400,47817300,540328000,162790500,10106900
2020-03-06,226176800,105472000,,64640000,12239100,24559600,72821100,515412000,189943500,15183200
2020-03-09,286744800,156264000,,69252000,13848600,29949000,70419300,614160000,256105500,20486400
2020-03-10,285290000,142666000,,54872000,12698100,24517800,65354400,580648000,233916000,16119400
2020-03-11,255598800,112496000,,54732000,17763400,20373900,56371600,499964000,199837500,14598200
2020-03-12,418474000,226924000,,94326000,21539200,43266300,93226400,816540000,283636500,27467700
2020-03-13,370732000,176194000,,79400000,20084200,35028600,92727400,634836000,339604500,19948900
2020-03-16,322423600,178346000,,96520000,18877900,39120400,87905900,726972000,307342500,23692000
2020-03-17,324056000,218342000,,83194000,18911800,34255600,81059800,833632000,359919000,22298000
2020-03-18,300233600,192904000,,93044000,17521100,37553100,81593200,874268000,356793000,22787500
2020-03-19,271857200,207998000,,74064000,18482300,39862300,85922700,765512000,452932500,19362800
2020-03-20,401693200,196358000,,82878000,19785100,32568400,84866200,804636000,424282500,18692100
2020-03-23,336752800,156170000,,83672000,20815200,29830800,78975200,643876000,246817500,30344100
2020-03-24,287531200,142942000,,72468000,17604800,30440400,82516700,1101644000,343428000,24488300
2020-03-25,303602000,129582000,,90324000,13986100,35184300,75638200,793432000,318340500,20619600
2020-03-26,252087200,124426000,,76562000,15066800,26556800,64568100,696108000,260710500,17062900
2020-03-27,204216800,107758000,,62794000,12133200,24879900,57042300,638828000,215661000,14950700
2020-03-30,167976400,122522000,,58736000,21754000,22515200,63420300,602252000,179971500,15714500
2020-03-31,197002000,102472000,,65228000,15746100,23676300,77927200,949960000,266572500,20613100
2020-04-01,176218400,82438000,,51970000,12606100,19507600,57969900,656912000,200298000,12595200
2020-04-02,165934000,86720000,,56410000,11594500,20886300,49630700,675764000,297876000,14051100
2020-04-03,129880000,72198000,,51374000,10071200,25983300,41243300,663212000,338431500,11994700
2020-04-06,201820400,115464000,,63320000,14994400,28453600,67111700,727884000,223527000,16479100
2020-04-07,202887200,102280000,,61620000,11567100,31411900,62769000,784520000,268797000,15379000
2020-04-08,168895200,79546000,,40334000,10758200,21664200,48318200,542444000,189840000,11146500
2020-04-09,161834800,92930000,,54028000,11125400,23534300,51385100,525564000,204750000,12231800
2020-04-13,131022800,134334000,,38702000,8153200,19355400,41905300,398408000,337131000,14043700
2020-04-14,194994800,161744000,,63358000,13838000,21011800,52874300,530948000,458647500,9980500
2020-04-15,131154400,137332000,,42236000,11962300,17423000,40940800,366148000,353655000,12118700
2020-04-16,157125200,240764000,,57896000,12181700,23593200,50479600,745620000,309868500,20308200
2020-04-17,215250000,158600000,,51050000,10920000,20974800,52765600,539120000,196923000,15375800
2020-04-20,130015200,115414000,,35292000,12226200,16110700,36669600,449388000,221199000,10505200
2020-04-21,180991600,149534000,,49648000,9951100,24850500,56203700,735160000,303136500,10562100
2020-04-22,116862400,84244000,,46296000,11515600,33242000,34620200,483356000,212482500,14502500
2020-04-23,124814400,101332000,,34202000,10665000,21426600,32790800,424160000,198550500,11411300
2020-04-24,126161200,76498000,,37402000,8653400,28792000,34277600,352328000,198180000,8391400
2020-04-27,117087600,112912000,,44186000,8924000,29197800,33194400,479388000,310221000,9903300
2020-04-28,112004800,105388000,,80700000,8558700,21731000,34392700,442904000,228330000,8614400
2020-04-29,137280800,91832000,,108358000,9285200,45954500,51286600,379160000,243240000,12862800
2020-04-30,183064000,190692000,,55842000,14829600,46230100,53875900,375916000,427078500,11331600
2020-05-01,240616800,195452000,,48872000,7309000,30415600,39370500,342096000,487977000,10109600
2020-05-04,133568000,97318000,,30806000,7198400,19250700,30372900,317556000,288556500,9386200
2020-05-05,147751200,64850000,,39666000,6562300,21071200,36839200,368896000,254875500,13513000
2020-05-06,142333600,62356000,,31732000,6191600,21857000,32139300,323464000,166848000,8540500
2020-05-07,115215200,67928000,,30652000,5570500,15152000,28316000,373732000,172915500,9262200
2020-05-08,133838400,64132000,,33326000,4712100,12506000,30877800,339216000,241297500,6470100
2020-05-11,145946400,65184000,,32718000,5887500,12911900,30892700,469060000,247794000,8683100
2020-05-12,162301200,61498000,,33918000,7039200,14704600,32038200,493060000,238603500,8219700
2020-05-13,200622400,95658000,,40368000,6970500,20684600,44711500,625852000,285982500,13377100
2020-05-14,158929200,72962000,,36660000,6871400,17178900,41873900,602312000,205233000,9695100
2020-05-15,166348400,84700000,,41544000,10340400,19383200,46610400,987660000,157776000,10785900
2020-05-18,135178400,87144000,,47094000,7388400,20151900,35264500,774460000,174987000,11802200
2020-05-19,101729600,86410000,,31586000,6107300,31843200,26799100,717320000,144547500,7446800
2020-05-20,111504800,79962000,,38262000,5713400,50162900,31261300,587536000,109639500,9545600
2020-05-21,102688800,102288000,,30894000,6487300,47782600,29119500,761068000,183819000,11338100
2020-05-22,81803200,57342000,,28544000,6140900,33925600,20826900,1038764000,149812500,5807600
2020-05-26,125522000,71364000,,44590000,7072300,33178300,36073600,770780000,121345500,9662200
2020-05-27,112945200,101138000,,31684000,7950000,34697600,39517100,1175892000,173242500,7650300
2020-05-28,133560800,63804000,,35170000,6189600,29377200,33810200,734896000,108834000,8352200
2020-05-29,153532400,70198000,,37044000,8504000,23241500,42130400,745256000,176467500,10211900
2020-06-01,80791200,58578000,,25162000,6141800,18223800,22622400,389876000,224092500,6011300
2020-06-02,87642800,50598000,,23442000,6078300,20919000,30794600,391320000,203484000,8462100
2020-06-03,104491200,53420000,,27732000,6339500,15380300,27311000,365440000,119242500,8879400
2020-06-04,87560400,58974000,,26982000,8170500,17041500,28761800,424280000,133315500,7829800
2020-06-05,137250400,66128000,,42642000,9725400,16750400,39893600,481748000,117178500,8561200
2020-06-08,95654400,79414000,,33878000,7555600,15466500,33211600,387736000,212620500,7628100
2020-06-09,147712400,103520000,,33624000,8247200,27462900,29783900,468488000,170823000,6892300
2020-06-10,166651600,98920000,,31762000,10137100,20720700,43872300,632180000,278451000,8405300
2020-06-11,201662400,116002000,,47144000,11913300,26708200,52854700,583652000,238747500,11974600
2020-06-12,200146000,108722000,,36676000,8687400,22091400,43373600,570908000,251451000,11706300
2020-06-15,138808800,77302000,,30468000,8649600,15340300,32770200,400004000,235458000,6752700
2020-06-16,165428800,71712000,,30648000,7579100,15236700,42556700,535716000,210766500,11057200
2020-06-17,114406400,59186000,,30610000,5100100,19578100,25687800,408304000,148362000,5968900
2020-06-18,96820400,49756000,,34862000,4797400,15782500,23061600,254408000,146278500,5803200
2020-06-19,264476000,115540000,,52784000,12206900,30081300,44441100,524160000,130195500,11483300
2020-06-22,135445200,64176000,,29442000,5285600,18917800,32818900,398468000,95436000,6674500
2020-06-23,212155600,84634000,,37752000,5921600,24017900,30917400,375108000,95479500,9866800
2020-06-24,192623200,90532000,,31592000,8211200,20834900,36740600,449372000,164394000,9453100
2020-06-25,137522400,59374000,,23958000,7421200,18704300,27803900,376072000,138817500,9936600
2020-06-26,205256800,130016000,,97640000,12849700,76343900,54675800,592084000,132823500,11836000
2020-06-29,130646000,84468000,,45074000,5309800,58514300,26701600,342248000,135396000,8020400
2020-06-30,140223200,75394000,,40286000,7738300,33927100,34310300,367892000,253777500,9040100
2020-07-01,110737200,127268000,,42182000,6174800,43399700,32061200,326648000,199903500,6394100
2020-07-02,114041600,131868000,,57218000,5152200,30633600,29315800,364056000,258751500,6299300
2020-07-06,118655600,137612000,,44712000,6156400,26206200,31897600,315892000,308548500,7292200
2020-07-07,112424400,105150000,,42364000,5622600,27887800,33600700,357800000,322345500,7660100
2020-07-08,117092000,100752000,,31766000,6257400,29791300,33600000,365480000,244669500,8368000
2020-07-09,125642800,127774000,,41836000,5738600,22174900,33121700,494548000,175764000,8548200
2020-07-10,90257200,109720000,,35918000,4282400,22982700,26177600,497676000,350064000,7674200
2020-07-13,191649200,154408000,,42954000,6951900,24674900,38135600,457076000,584781000,8564100
2020-07-14,170989200,144638000,,38108000,7447100,23378100,37591800,542676000,351271500,8003900
2020-07-15,153198000,115778000,,31026000,8512800,19133600,32179400,403984000,245517000,7681100
2020-07-16,110577600,127884000,,26484000,9304700,18880700,29940700,344964000,214512000,5064000
2020-07-17,92186800,95226000,,34264000,7441100,18152400,31635300,266284000,139950000,6395000
2020-07-20,90318000,151964000,,30166000,6191500,20872200,36884800,284852000,256821000,6985300
2020-07-21,103433200,122426000,,27486000,5575900,19364200,37990400,277036000,241608000,7218700
2020-07-22,89001600,82084000,,24482000,5910200,15427900,49605700,367292000,212416500,6823400
