number,value,datetime_start,datetime_complete,duration,params_atr_period,params_ev_ebitda_max,params_fcf_margin_min,params_revenue_growth_min,params_roe_min,params_rsi_high,params_rsi_low,params_rsi_period,params_sma_fast,params_sma_slow,params_volchg_window,system_attrs_fixed_params,state
0,0.0,2025-07-04 14:41:01.204206,2025-07-04 14:41:01.221727,0 days 00:00:00.017521,14,10,0.05,0.1,10,70,30,14,10,100,5,"{'score': 0.0, 'sma_fast': 10.0, 'sma_slow': 100.0, 'rsi_period': 14.0, 'rsi_low': 30.0, 'rsi_high': 70.0, 'atr_period': 14.0, 'volchg_window': 5.0, 'roe_min': 10.0, 'revenue_growth_min': 0.1, 'ev_ebitda_max': 10.0, 'fcf_margin_min': 0.05, 'CAGR': 0.0, 'MDD': 0.0, 'Sharpe': nan}",COMPLETE
1,0.0,2025-07-04 14:41:01.223119,2025-07-04 14:41:01.236458,0 days 00:00:00.013339,14,10,0.1,0.1,20,70,30,28,20,200,5,,COMPLETE
2,0.0,2025-07-04 14:41:01.237479,2025-07-04 14:41:01.251499,0 days 00:00:00.014020,14,10,0.05,0.15,20,70,30,14,10,250,10,,COMPLETE
3,0.0,2025-07-04 14:41:01.252482,2025-07-04 14:41:01.265555,0 days 00:00:00.013073,14,10,0.05,0.2,15,70,30,21,10,100,5,,COMPLETE
4,0.0,2025-07-04 14:41:01.266477,2025-07-04 14:41:01.284863,0 days 00:00:00.018386,14,12,0.1,0.2,20,70,30,28,20,100,10,,COMPLETE
5,0.0,2025-07-04 14:41:01.286822,2025-07-04 14:41:01.302662,0 days 00:00:00.015840,14,12,0.1,0.15,15,70,30,21,50,200,5,,COMPLETE
6,0.0,2025-07-04 14:41:01.303701,2025-07-04 14:41:01.317581,0 days 00:00:00.013880,14,12,0.1,0.1,10,70,30,14,30,100,5,,COMPLETE
7,0.0,2025-07-04 14:41:01.318690,2025-07-04 14:41:01.331607,0 days 00:00:00.012917,14,10,0.1,0.2,15,70,30,14,50,200,5,,COMPLETE
8,0.0,2025-07-04 14:41:01.332507,2025-07-04 14:41:01.344300,0 days 00:00:00.011793,14,14,0.05,0.1,20,70,30,28,40,200,5,,COMPLETE
9,0.0,2025-07-04 14:41:01.345187,2025-07-04 14:41:01.364451,0 days 00:00:00.019264,14,10,0.05,0.2,10,70,30,28,40,200,5,,COMPLETE
10,0.0,2025-07-04 14:41:01.366436,2025-07-04 14:41:01.389594,0 days 00:00:00.023158,14,14,0.05,0.1,10,70,30,14,10,150,10,,COMPLETE
11,0.0,2025-07-04 14:41:01.390940,2025-07-04 14:41:01.413225,0 days 00:00:00.022285,14,10,0.1,0.1,10,70,30,28,20,150,5,,COMPLETE
12,0.0,2025-07-04 14:41:01.414537,2025-07-04 14:41:01.436412,0 days 00:00:00.021875,14,10,0.05,0.1,20,70,30,14,20,250,5,,COMPLETE
13,0.0,2025-07-04 14:41:01.437692,2025-07-04 14:41:01.459987,0 days 00:00:00.022295,14,10,0.1,0.1,10,70,30,28,30,100,5,,COMPLETE
14,0.0,2025-07-04 14:41:01.461580,2025-07-04 14:41:01.478443,0 days 00:00:00.016863,14,14,0.1,0.1,20,70,30,21,20,200,10,,COMPLETE
15,0.0,2025-07-04 14:41:01.479293,2025-07-04 14:41:01.493365,0 days 00:00:00.014072,14,10,0.05,0.1,10,70,30,14,10,100,5,,COMPLETE
16,0.0,2025-07-04 14:41:01.494181,2025-07-04 14:41:01.508386,0 days 00:00:00.014205,14,10,0.05,0.15,20,70,30,28,10,250,5,,COMPLETE
17,0.0,2025-07-04 14:41:01.509212,2025-07-04 14:41:01.523241,0 days 00:00:00.014029,14,10,0.1,0.1,10,70,30,14,20,150,5,,COMPLETE
18,0.0,2025-07-04 14:41:01.524048,2025-07-04 14:41:01.537997,0 days 00:00:00.013949,14,14,0.05,0.1,20,70,30,28,50,100,10,,COMPLETE
19,0.0,2025-07-04 14:41:01.538808,2025-07-04 14:41:01.552981,0 days 00:00:00.014173,14,12,0.1,0.15,15,70,30,21,30,200,5,,COMPLETE
20,0.0,2025-07-04 14:41:01.553843,2025-07-04 14:41:01.568286,0 days 00:00:00.014443,14,10,0.1,0.1,20,70,30,28,40,100,5,,COMPLETE
21,0.0,2025-07-04 14:41:01.569295,2025-07-04 14:41:01.583946,0 days 00:00:00.014651,14,10,0.05,0.15,20,70,30,14,10,250,10,,COMPLETE
22,0.0,2025-07-04 14:41:01.584759,2025-07-04 14:41:01.598819,0 days 00:00:00.014060,14,10,0.05,0.15,20,70,30,14,10,250,10,,COMPLETE
23,0.0,2025-07-04 14:41:01.599632,2025-07-04 14:41:01.614211,0 days 00:00:00.014579,14,10,0.05,0.15,20,70,30,14,10,250,10,,COMPLETE
24,0.0,2025-07-04 14:41:01.615045,2025-07-04 14:41:01.630704,0 days 00:00:00.015659,14,10,0.05,0.15,20,70,30,14,10,250,10,,COMPLETE
25,0.0,2025-07-04 14:41:01.631704,2025-07-04 14:41:01.648499,0 days 00:00:00.016795,14,10,0.05,0.15,10,70,30,14,20,250,10,,COMPLETE
26,0.0,2025-07-04 14:41:01.649363,2025-07-04 14:41:01.663820,0 days 00:00:00.014457,14,10,0.05,0.1,20,70,30,14,10,200,10,,COMPLETE
27,0.0,2025-07-04 14:41:01.664650,2025-07-04 14:41:01.678936,0 days 00:00:00.014286,14,10,0.05,0.15,20,70,30,14,10,150,5,,COMPLETE
28,0.0,2025-07-04 14:41:01.679924,2025-07-04 14:41:01.694561,0 days 00:00:00.014637,14,14,0.1,0.2,15,70,30,21,20,250,10,,COMPLETE
29,0.0,2025-07-04 14:41:01.695376,2025-07-04 14:41:01.712439,0 days 00:00:00.017063,14,12,0.05,0.1,10,70,30,28,10,100,5,,COMPLETE
30,0.0,2025-07-04 14:41:01.713285,2025-07-04 14:41:01.728292,0 days 00:00:00.015007,14,10,0.05,0.2,15,70,30,21,30,200,5,,COMPLETE
31,0.0,2025-07-04 14:41:01.729138,2025-07-04 14:41:01.744148,0 days 00:00:00.015010,14,10,0.05,0.2,15,70,30,21,10,100,5,,COMPLETE
32,0.0,2025-07-04 14:41:01.744974,2025-07-04 14:41:01.760958,0 days 00:00:00.015984,14,10,0.05,0.2,15,70,30,21,10,100,5,,COMPLETE
33,0.0,2025-07-04 14:41:01.761779,2025-07-04 14:41:01.776822,0 days 00:00:00.015043,14,12,0.1,0.2,15,70,30,21,50,100,5,,COMPLETE
34,0.0,2025-07-04 14:41:01.778376,2025-07-04 14:41:01.794243,0 days 00:00:00.015867,14,10,0.05,0.2,15,70,30,21,10,100,5,,COMPLETE
35,0.0,2025-07-04 14:41:01.795204,2025-07-04 14:41:01.811426,0 days 00:00:00.016222,14,12,0.1,0.2,15,70,30,28,20,100,5,,COMPLETE
36,0.0,2025-07-04 14:41:01.812333,2025-07-04 14:41:01.828728,0 days 00:00:00.016395,14,10,0.05,0.1,20,70,30,14,40,200,5,,COMPLETE
37,0.0,2025-07-04 14:41:01.829727,2025-07-04 14:41:01.847229,0 days 00:00:00.017502,14,10,0.1,0.15,10,70,30,21,50,100,10,,COMPLETE
38,0.0,2025-07-04 14:41:01.848124,2025-07-04 14:41:01.869162,0 days 00:00:00.021038,14,14,0.05,0.2,20,70,30,28,10,200,5,,COMPLETE
39,0.0,2025-07-04 14:41:01.870600,2025-07-04 14:41:01.889435,0 days 00:00:00.018835,14,10,0.05,0.1,10,70,30,14,40,150,5,,COMPLETE
40,0.0,2025-07-04 14:41:01.890370,2025-07-04 14:41:01.907723,0 days 00:00:00.017353,14,12,0.1,0.1,15,70,30,28,20,200,5,,COMPLETE
41,0.0,2025-07-04 14:41:01.908754,2025-07-04 14:41:01.929667,0 days 00:00:00.020913,14,12,0.1,0.2,20,70,30,28,20,100,10,,COMPLETE
42,0.0,2025-07-04 14:41:01.930860,2025-07-04 14:41:01.959614,0 days 00:00:00.028754,14,12,0.1,0.2,20,70,30,28,20,100,10,,COMPLETE
43,0.0,2025-07-04 14:41:01.960961,2025-07-04 14:41:01.984955,0 days 00:00:00.023994,14,12,0.1,0.2,20,70,30,28,20,100,10,,COMPLETE
44,0.0,2025-07-04 14:41:01.986286,2025-07-04 14:41:02.012589,0 days 00:00:00.026303,14,10,0.1,0.2,10,70,30,28,20,100,10,,COMPLETE
45,0.0,2025-07-04 14:41:02.014117,2025-07-04 14:41:02.040920,0 days 00:00:00.026803,14,12,0.1,0.1,20,70,30,14,30,100,10,,COMPLETE
46,0.0,2025-07-04 14:41:02.042453,2025-07-04 14:41:02.070836,0 days 00:00:00.028383,14,10,0.05,0.1,20,70,30,28,10,250,5,,COMPLETE
47,0.0,2025-07-04 14:41:02.072299,2025-07-04 14:41:02.099480,0 days 00:00:00.027181,14,14,0.1,0.2,10,70,30,14,50,200,5,,COMPLETE
48,0.0,2025-07-04 14:41:02.101378,2025-07-04 14:41:02.123064,0 days 00:00:00.021686,14,10,0.05,0.1,20,70,30,21,20,150,10,,COMPLETE
49,0.0,2025-07-04 14:41:02.123951,2025-07-04 14:41:02.141560,0 days 00:00:00.017609,14,10,0.1,0.15,10,70,30,28,10,100,5,,COMPLETE
50,0.0,2025-07-04 14:41:02.142836,2025-07-04 14:41:02.161705,0 days 00:00:00.018869,14,12,0.05,0.1,20,70,30,14,40,250,10,,COMPLETE
51,0.0,2025-07-04 14:41:02.163024,2025-07-04 14:41:02.180381,0 days 00:00:00.017357,14,12,0.1,0.15,15,70,30,21,50,200,5,,COMPLETE
52,0.0,2025-07-04 14:41:02.181229,2025-07-04 14:41:02.201873,0 days 00:00:00.020644,14,12,0.1,0.15,15,70,30,21,50,200,5,,COMPLETE
53,0.0,2025-07-04 14:41:02.203790,2025-07-04 14:41:02.223316,0 days 00:00:00.019526,14,12,0.1,0.15,15,70,30,21,50,200,5,,COMPLETE
54,0.0,2025-07-04 14:41:02.224324,2025-07-04 14:41:02.241408,0 days 00:00:00.017084,14,10,0.1,0.15,15,70,30,21,10,200,5,,COMPLETE
55,0.0,2025-07-04 14:41:02.242612,2025-07-04 14:41:02.263740,0 days 00:00:00.021128,14,14,0.05,0.15,20,70,30,14,30,200,5,,COMPLETE
56,0.0,2025-07-04 14:41:02.264950,2025-07-04 14:41:02.281775,0 days 00:00:00.016825,14,10,0.1,0.1,15,70,30,28,50,250,10,,COMPLETE
57,0.0,2025-07-04 14:41:02.282688,2025-07-04 14:41:02.300664,0 days 00:00:00.017976,14,12,0.05,0.15,10,70,30,14,10,100,5,,COMPLETE
58,0.0,2025-07-04 14:41:02.301755,2025-07-04 14:41:02.321480,0 days 00:00:00.019725,14,10,0.1,0.1,20,70,30,21,20,150,5,,COMPLETE
59,0.0,2025-07-04 14:41:02.322369,2025-07-04 14:41:02.340718,0 days 00:00:00.018349,14,10,0.05,0.2,20,70,30,28,10,250,10,,COMPLETE
