number,value,datetime_start,datetime_complete,duration,params_atr_period,params_ev_ebitda_max,params_fcf_margin_min,params_revenue_growth_min,params_roe_min,params_rsi_high,params_rsi_low,params_rsi_period,params_sma_fast,params_sma_slow,params_volchg_window,system_attrs_fixed_params,state
0,0.0,2025-07-04 23:06:31.520831,2025-07-04 23:06:31.533506,0 days 00:00:00.012675,14,10,0.05,0.1,10,70,30,14,10,100,5,"{'score': 0.0, 'sma_fast': 10.0, 'sma_slow': 100.0, 'rsi_period': 14.0, 'rsi_low': 30.0, 'rsi_high': 70.0, 'atr_period': 14.0, 'volchg_window': 5.0, 'roe_min': 10.0, 'revenue_growth_min': 0.1, 'ev_ebitda_max': 10.0, 'fcf_margin_min': 0.05, 'CAGR': 0.0, 'MDD': 0.0, 'Sharpe': nan}",COMPLETE
1,0.0,2025-07-04 23:06:31.534491,2025-07-04 23:06:31.548728,0 days 00:00:00.014237,14,10,0.1,0.1,20,70,30,28,20,200,5,,COMPLETE
2,0.0,2025-07-04 23:06:31.550055,2025-07-04 23:06:31.561603,0 days 00:00:00.011548,14,10,0.05,0.15,20,70,30,14,10,250,10,,COMPLETE
3,0.0,2025-07-04 23:06:31.562502,2025-07-04 23:06:31.574024,0 days 00:00:00.011522,14,10,0.05,0.2,15,70,30,21,10,100,5,,COMPLETE
4,0.0,2025-07-04 23:06:31.574813,2025-07-04 23:06:31.585440,0 days 00:00:00.010627,14,12,0.1,0.2,20,70,30,28,20,100,10,,COMPLETE
5,0.0,2025-07-04 23:06:31.586256,2025-07-04 23:06:31.596727,0 days 00:00:00.010471,14,12,0.1,0.15,15,70,30,21,50,200,5,,COMPLETE
6,0.0,2025-07-04 23:06:31.597519,2025-07-04 23:06:31.613411,0 days 00:00:00.015892,14,12,0.1,0.1,10,70,30,14,30,100,5,,COMPLETE
7,0.0,2025-07-04 23:06:31.615104,2025-07-04 23:06:31.631860,0 days 00:00:00.016756,14,10,0.1,0.2,15,70,30,14,50,200,5,,COMPLETE
8,0.0,2025-07-04 23:06:31.633693,2025-07-04 23:06:31.646566,0 days 00:00:00.012873,14,14,0.05,0.1,20,70,30,28,40,200,5,,COMPLETE
9,0.0,2025-07-04 23:06:31.647497,2025-07-04 23:06:31.659202,0 days 00:00:00.011705,14,10,0.05,0.2,10,70,30,28,40,200,5,,COMPLETE
10,0.0,2025-07-04 23:06:31.660091,2025-07-04 23:06:31.674594,0 days 00:00:00.014503,14,14,0.05,0.1,10,70,30,14,10,150,10,,COMPLETE
11,0.0,2025-07-04 23:06:31.675473,2025-07-04 23:06:31.695463,0 days 00:00:00.019990,14,10,0.1,0.1,10,70,30,28,20,150,5,,COMPLETE
12,0.0,2025-07-04 23:06:31.696728,2025-07-04 23:06:31.717999,0 days 00:00:00.021271,14,10,0.05,0.1,20,70,30,14,20,250,5,,COMPLETE
13,0.0,2025-07-04 23:06:31.719273,2025-07-04 23:06:31.743667,0 days 00:00:00.024394,14,10,0.1,0.1,10,70,30,28,30,100,5,,COMPLETE
14,0.0,2025-07-04 23:06:31.745717,2025-07-04 23:06:31.780016,0 days 00:00:00.034299,14,14,0.1,0.1,20,70,30,21,20,200,10,,COMPLETE
15,0.0,2025-07-04 23:06:31.781353,2025-07-04 23:06:31.799988,0 days 00:00:00.018635,14,10,0.05,0.1,10,70,30,14,10,100,5,,COMPLETE
16,0.0,2025-07-04 23:06:31.801430,2025-07-04 23:06:31.818906,0 days 00:00:00.017476,14,10,0.05,0.15,20,70,30,28,10,250,5,,COMPLETE
17,0.0,2025-07-04 23:06:31.819802,2025-07-04 23:06:31.837056,0 days 00:00:00.017254,14,10,0.1,0.1,10,70,30,14,20,150,5,,COMPLETE
