number,value,datetime_start,datetime_complete,duration,params_atr_period,params_ev_ebitda_max,params_fcf_margin_min,params_revenue_growth_min,params_roe_min,params_rsi_high,params_rsi_low,params_rsi_period,params_sma_fast,params_sma_slow,params_volchg_window,system_attrs_fixed_params,state
0,0.0,2025-07-04 23:12:21.721088,2025-07-04 23:12:21.734492,0 days 00:00:00.013404,14,10,0.05,0.1,10,70,30,14,10,100,5,"{'score': 0.0, 'sma_fast': 10.0, 'sma_slow': 100.0, 'rsi_period': 14.0, 'rsi_low': 30.0, 'rsi_high': 70.0, 'atr_period': 14.0, 'volchg_window': 5.0, 'roe_min': 10.0, 'revenue_growth_min': 0.1, 'ev_ebitda_max': 10.0, 'fcf_margin_min': 0.05, 'CAGR': 0.0, 'MDD': 0.0, 'Sharpe': 0.0}",COMPLETE
1,0.0,2025-07-04 23:12:21.735384,2025-07-04 23:12:21.749094,0 days 00:00:00.013710,14,10,0.1,0.1,20,70,30,28,20,200,5,,COMPLETE
2,0.0,2025-07-04 23:12:21.750023,2025-07-04 23:12:21.761506,0 days 00:00:00.011483,14,10,0.05,0.15,20,70,30,14,10,250,10,,COMPLETE
3,0.0,2025-07-04 23:12:21.762364,2025-07-04 23:12:21.773819,0 days 00:00:00.011455,14,10,0.05,0.2,15,70,30,21,10,100,5,,COMPLETE
4,0.0,2025-07-04 23:12:21.774669,2025-07-04 23:12:21.791197,0 days 00:00:00.016528,14,12,0.1,0.2,20,70,30,28,20,100,10,,COMPLETE
5,0.0,2025-07-04 23:12:21.792680,2025-07-04 23:12:21.810213,0 days 00:00:00.017533,14,12,0.1,0.15,15,70,30,21,50,200,5,,COMPLETE
6,0.0,2025-07-04 23:12:21.811946,2025-07-04 23:12:21.831841,0 days 00:00:00.019895,14,12,0.1,0.1,10,70,30,14,30,100,5,,COMPLETE
7,0.0,2025-07-04 23:12:21.833792,2025-07-04 23:12:21.849135,0 days 00:00:00.015343,14,10,0.1,0.2,15,70,30,14,50,200,5,,COMPLETE
8,0.0,2025-07-04 23:12:21.849984,2025-07-04 23:12:21.861365,0 days 00:00:00.011381,14,14,0.05,0.1,20,70,30,28,40,200,5,,COMPLETE
9,0.0,2025-07-04 23:12:21.862220,2025-07-04 23:12:21.873245,0 days 00:00:00.011025,14,10,0.05,0.2,10,70,30,28,40,200,5,,COMPLETE
10,0.0,2025-07-04 23:12:21.874113,2025-07-04 23:12:21.892100,0 days 00:00:00.017987,14,14,0.05,0.1,10,70,30,14,10,150,10,,COMPLETE
